title,winery,variety,designation,province,region_1,country,points,price,taster_name,description
VML 2013 Rosé of Pinot Noir (Russian River Valley),VML,Pinot Noir,Rosé of,California,Russian River Valley,US,88,$20.0,Virginie Boone,"Tingling in acidity, this substantially juicy, full-bodied rosé is made from ripe fruit that leans toward flavors of strawberries and Russian River Valley Pinot's classic tell-tale of cherries. The aromas are floral; think Lady Day gardenia."
Tendril 2014 Extrovert Pinot Noir (Willamette Valley),Tendril,Pinot Noir,Extrovert,Oregon,Willamette Valley,US,91,$48.0,Paul Gregutt,"Built for immediate enjoyment, this brings a tasty mix of berries and cherries, rounded off with 15 months in one-year-old barrels. The delicious burst of mocha around the fruit is what propels this wine, and invites the second glass as soon as the first is finished."
Adair Bachman 2014 Rose & Thistle Rosé (Napa Valley),Adair Bachman,Rosé,Rose & Thistle,California,Napa Valley,US,90,$35.0,Virginie Boone,"This is made from 92% Cabernet Sauvignon and 8% Pinot Noir, an interesting and fulfilling combination thats robust on the palate. Pinkish-orange in color, it's both tangy and weighty, finishing dry in orange zest."
Trathen Hall 2012 Antiquum Vineyard Pinot Noir (Willamette Valley),Trathen Hall,Pinot Noir,Antiquum Vineyard,Oregon,Willamette Valley,US,91,$48.0,Paul Gregutt,"From a blending of two barrels—one new and one neutral—this is a snappy, sappy, tangy wine with ripe, forward red and purple fruits. These notes are framed with pretty barrel toast, and the tannins are firm, ripe and balanced. Drink now with pleasure or tuck it away until 2020."
Goose Ridge 2013 Estate Bottled GRV White (Columbia Valley (WA)),Goose Ridge,White Blend,Estate Bottled GRV,Washington,Columbia Valley (WA),US,87,$24.0,Sean P. Sullivan,"This wine is half Viognier with the rest Grenache Blanc and Roussanne. It offers aromas of almond, lees and peach. It's unctuous in feel but lighter in style with a touch of bitterness that distracts."
Chateauneuf-du-Pape 2020 Champagknee,Chateauneuf-du-Pape,Champagknee,,New York,,US,26,$162.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
O•S Winery 2011 Riesling (Columbia Valley (WA)),O•S Winery,Riesling,,Washington,Columbia Valley (WA),US,91,$15.0,Paul Gregutt,"Winemaker Bill Owen consistently produces one of Washington's most stylish Rieslings. High in acid and low in alcohol, the sweet-tart balance of the wine is exciting and perfectly rendered. Despite a change in vineyard sources, this remains rich, round and juicy, with flavors of peach, apricot and a hint of fresh cream."
Hestan 2012 Estate Cabernet Sauvignon (Napa Valley),Hestan,Cabernet Sauvignon,Estate,California,Napa Valley,US,90,$155.0,Virginie Boone,"This wine has a classic personality: round and soft in tannin, with a chalkiness lurking behind herbal tobacco leaf, tomato, cedar and rose notes. Full-bodied, it doesn't hold back on ripeness but displays more savory character than fruit."
Hazlitt 1852 Vineyards 2007 Sauvignon Blanc (Finger Lakes),Hazlitt 1852 Vineyards,Sauvignon Blanc,,New York,Finger Lakes,US,86,$13.0,Susan Kostrzewa,"Honey, flower and melon leads on this delicate Riesling from Hazlitt. Juicy, full flavors of melon and citrus are balanced with a crisp minerality that lingers in the finish. Complex and energetic."
Sinatra Family 2008 Cabernet Sauvignon (Napa Valley),Sinatra Family,Cabernet Sauvignon,,California,Napa Valley,US,95,$95.0,,"Representing a breathtaking advancement over the '07, Sinatra's 2008 Cab is simply delicious. It's fleshy and fat in texture, with a glyceriney richness that makes it almost oily and that, when combined with caramelized oak, turns into nougat. The blackberry, cherry and cassis fruit flavors rise to the occasion. This is truly a stunningly good Cabernet."
Damiani 2014 Dry Rhysling Riesling (Finger Lakes),Damiani,Riesling,Dry Rhysling,New York,Finger Lakes,US,91,$25.0,Anna Lee C. Iijima,"While demure on the nose, this dry Riesling offers a palate that is surprisingly bold in both flavor and textural intensity. Bursts of ripe grapefruit and tangerine flavors are accented by a kiss of rose-petal perfume. Zesty orange-peel notes lend a touch of astringency to the finish."
Hedges 1999 Fume Chardonnay (Columbia Valley (WA)),Hedges,Chardonnay,Fume,Washington,Columbia Valley (WA),US,88,$9.0,Paul Gregutt,"A wonderful nose mixes pineapple/tropical fruits, honeysuckle and some spicy herbs. The crisp and clean flavors are of green berries, melon and vanilla. Best Buy."
Galerie 2013 Pleinair Cabernet Sauvignon (Napa Valley),Galerie,Cabernet Sauvignon,Pleinair,California,Napa Valley,US,93,$50.0,Virginie Boone,"A reduction of tar and meaty leather at first overrides elusive fruit in this 100% varietal wine. It's alluring nonetheless, for its soft tannins and toasted hits of oak. Currant, clove and tobacco give a savory, compelling and complex edge to the full-bodied frame."
Peju 2015 Rosé (Napa Valley),Peju,Rosé,,California,Napa Valley,US,90,$25.0,Virginie Boone,"This proprietary blend of Zinfandel, Syrah and Malbec satisfies, offering a crisp, creamy layering of strawberry and grapefruit atop a medium-sized body and salty, tangy finish."
Whitestone 2005 Lake Roosevelt Shores Vineyard Merlot (Columbia Valley (WA)),Whitestone,Merlot,Lake Roosevelt Shores Vineyard,Washington,Columbia Valley (WA),US,83,$28.0,Paul Gregutt,"Soft and supple, this quite approachable wine has simple, lightly fruity flavors. It's generic, pleasant and ready to drink, with some milk chocolaty oak in the finish. Though it lists at 14.6% alcohol, it does not have commensurate weight or density of flavor."
Four Degrees of Riesling 2012 2nd Degree Medium Sweet Riesling (Finger Lakes),Four Degrees of Riesling,Riesling,2nd Degree Medium Sweet,New York,Finger Lakes,US,84,$14.0,Anna Lee C. Iijima,"Lush and tropical with rich, ripe streaks of pineapple and mango, this medium-sweet Riesling is unabashedly forward and fruity, but hints of earth and dust on the midpalate lend a dark tone. Light on its feet, with a lemony finish."
Rooster Hill 2007 Estate Gewürztraminer (Finger Lakes),Rooster Hill,Gewürztraminer,Estate,New York,Finger Lakes,US,80,$16.0,,"While the aromas show some promise, they are disappointingly faint for a Gewürztraminer. This wine is an easy quaffer but lacks the palate richness typical of this variety. Crisp acidity and low alcohol (11.7%) make it a good hot weather choice."
Territorial 2013 Equinox Vineyard Spoiled Rotten Chardonnay (Willamette Valley),Territorial,Chardonnay,Equinox Vineyard Spoiled Rotten,Oregon,Willamette Valley,US,93,$60.0,Paul Gregutt,"Lush candied fruits abound in this naturally botrytised wine. With 147 g/L of residual sugar, it still reaches over 12% alcohol. Pineapple, lemon and orange peel, pine resin, honey, cedar and butterscotch are all in the mix, plus a lot more. You can go spelunking in this wine and never see it all."
Carlton Hill 2011 Estate Pinot Noir,Carlton Hill,Pinot Noir,Estate,Oregon,Willamette Valley,US,90,$45.0,Paul Gregutt,"This graceful wine, from a cool vintage, nicely expresses the more elegant side of Pinot Noir. There are ample fruit flavors of plum, cherry and blueberry, and a pleasantly musky note overlays the maturing fruit. It's rolling along smoothly into a fully integrated finish. Drink now through 2020."
Gary Farrell 2014 Russian River Selection Chardonnay (Russian River Valley),Gary Farrell,Chardonnay,Russian River Selection,California,Russian River Valley,US,95,$35.0,Virginie Boone,"Dark yellow in color, this wine shows tangy green apple and a richer, more concentrated element of apple-spice cake, with supportive, balanced acidity. With a bright, lifted finish, this less-expensive offering compared with many of the producer's single-vineyard designates never lets up on complexity or deliciousness."
Lynmar 2010 Quail Hill Vineyard Chardonnay (Russian River Valley),Lynmar,Chardonnay,Quail Hill Vineyard,California,Russian River Valley,US,95,$40.0,,"A bone dry wine that's rich in steely minerals and wonderful acidity. It offers the elegance and complexity of a great premier cru, with tantalizing traces of sweet Meyer lemons, limes and exotic spices. The oak is subtle, lending aromas and flavors of buttered toast, while its time spent on the lees contributes notes of sour cream. A fabulous success for this or any vintage."
Chasseur 2014 Soft Asylum Pinot Noir (Russian River Valley),Chasseur,Pinot Noir,Soft Asylum,California,Russian River Valley,US,88,$60.0,Virginie Boone,"Thinly textured and lightly spiced, this wine shows an earthy forest-floor character with spikes of baking spice and black tea. The subtext is defined by juicy huckleberry."
Blinking Lizard 2001 Riesling,Blinking Lizard,Riesling,,Mars,N A,US,217,$188.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Burnt Bridge 2011 Pont Brûlé Red (Columbia Valley (WA)),Burnt Bridge,Red Blend,Pont Brûlé,Washington,Columbia Valley (WA),US,91,$30.0,Paul Gregutt,"This is 58% Grenache, 39% Syrah, and 3% Tempranillo. It's a real fruit salad of a wine—fresh and loaded with strawberries, cherry candy, cola and cream. Forward and fruit-driven, it's enormously appealing and ready to drink right now."
Used Automobile Parts 2004 Red (Napa Valley),Used Automobile Parts,Bordeaux-style Red Blend,,California,Napa Valley,US,91,$50.0,,"The question is whether or not this wine will age, for it sure is tannic. Burns from entry to exit, and it's not the alcohol, which is modest. It's a very ripe, fruity Bordeaux blend, brimming with blackberry, cherry, licorice and cola flavors, and is flat-out delicious, except for those astringent tannins. Give it until sometime in 2008, and it should drink well for an additional six years."
Sequoia Grove 2011 Tonella Vineyard Cabernet Sauvignon (Napa Valley),Sequoia Grove,Cabernet Sauvignon,Tonella Vineyard,California,Napa Valley,US,93,$90.0,Virginie Boone,"From an estate vineyard located in the heart of Rutherford that was purchased by the producer in 2006, this vineyard-designate is the star of the show, a blend of mostly Cabernet Sauvignon with 9% Cabernet Franc. Thick, dense and robust in tannin and oak, it offers structured red and black fruit, dried herb, pencil lead, cedar and cigar, combining ripeness with cooler-climate characteristics. It should cellar well through 2021."
Camaraderie 2014 Red Wine Cabernet Franc (Columbia Valley (WA)),Camaraderie,Cabernet Franc,Red Wine,Washington,Columbia Valley (WA),US,88,$29.0,Sean P. Sullivan,"The aromas bring notes of coffee, bittersweet chocolate, wood spice, vanilla and black fruit. The fruit flavors bring a sense of elegance, with abundant vanilla flavors along with grainy tannins backing them up."
Keuka Lake Vineyards 2014 Estate Grown and Bottled Evergreen Lek Vineyard Dry Riesling (Finger Lakes),Keuka Lake Vineyards,Riesling,Estate Grown and Bottled Evergreen Lek Vineyard Dry,New York,Finger Lakes,US,90,$27.0,Anna Lee C. Iijima,"Opulent layers of quince, apple and tangerine seem to be glazed with honey­comb and smoke in this complex, textured wine. Dry in style, it's satisfyingly creamy on the palate, yet struck by a nervous edge of lime zest and lemony acidity. Drink now–2025 to allow its mineral complexities to deepen."
Coeur de Terre 2014 Abby's Block Reserve Pinot Noir (Willamette Valley),Coeur de Terre,Pinot Noir,Abby's Block Reserve,Oregon,Willamette Valley,US,91,$65.0,Paul Gregutt,"Lovely aromatics suggest wet stone, raspberry and pomegranate. This is a sleek, subtle wine. Its winery notes suggest it is a “slow bloomer” in the glass, which proves out if you give it that chance. It's balanced and resonant, with the promise of further improvement with another few years of bottle age."
Honor Winery 2012 Highest Honor Red (Napa Valley),Honor Winery,Red Blend,Highest Honor,California,Napa Valley,US,88,$89.0,Virginie Boone,"This big-bottled, wax-topped wine blends half Merlot with a quarter each of Cabernet Sauvignon and Petit Verdot. Thick and concentrated in red fruit, it holds back on body somewhat, making way for a soft, likable character with a touch of grit among the definitive red cherry."
Cinco 2018 IPA,Cinco,IPA,,Mars,,US,9,$362.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
One Iron 2012 Meritage (Napa Valley),One Iron,Meritage,,California,Napa Valley,US,88,$40.0,Virginie Boone,"This is a blend of 46% dry-farmed Merlot, 45% Malbec and 9% Petit Verdot from the Lamonica Vineyard south of the Stags Leap District. Cola, leather and coffee ride a smoothly tannic, medium-bodied offering of likable approachability."
Wagner 2008 Dry Gewürztraminer (Finger Lakes),Wagner,Gewürztraminer,Dry,New York,Finger Lakes,US,85,$13.0,Anna Lee C. Iijima,"Although subdued both aromatically and on the palate, this refreshing, dry Gewürztraminer smells sweetly of waxy white florals and lemons with a hint of bruised apples. There's not a lot of concentration of flavor, but its fresh apple and lemon flavors are clean and brisk, ending with a pleasant grapefruit pith finish."
Wild Meadows 2013 Cabernet Sauvignon (Columbia Valley (WA)),Wild Meadows,Cabernet Sauvignon,,Washington,Columbia Valley (WA),US,81,$11.0,Sean P. Sullivan,"The aromas of blueberry, milk chocolate and tire rubber are pleasant enough but the palate distracts with sweet, lightly spritzy blue fruit flavors backed by chalky tannins."
Corley 2006 Estate Grown Pinot Noir (Napa Valley),Corley,Pinot Noir,Estate Grown,California,Napa Valley,US,92,$58.0,,"This is Corley's first Pinot Noir since 1999 and it's delicious. Grown in the cooler Oak Knoll District, it shows Pinot's opulent side, with a silky, velvety texture framing ripe cherry pie, red currant, licorice and smoky oak flavors. Best now through 2010."
Apex 2013 Cabernet Sauvignon (Columbia Valley (WA)),Apex,Cabernet Sauvignon,,Washington,Columbia Valley (WA),US,87,$30.0,Sean P. Sullivan,"Aromas of cocoa, baking spice and herb are followed by cocoa and vanilla-speckled flavors. The tannins bring a slight sense of astringency but overall it offers some appeal."
Waterbrook 2001 Sauvignon Blanc (Columbia Valley (WA)),Waterbrook,Sauvignon Blanc,,Washington,Columbia Valley (WA),US,88,$14.0,Paul Gregutt,"Waterbrook makes a  lovely, lighthearted, citrus- and melon-flavored Sauv Blanc. Crisp and elegant, it manages to be flavorful without being overpowering; it's a delightful summer sipping wine that will add zip to almost anything you serve it with."
Columbia Crest 2014 Grand Estates Chardonnay (Columbia Valley (WA)),Columbia Crest,Chardonnay,Grand Estates,Washington,Columbia Valley (WA),US,87,$12.0,Sean P. Sullivan,"Pineapple and mango aromas mix with notes of baking spices. The flavors show a fine sense of balance, tapering toward the finish. It's oak driven at times but provides a lot of enjoyment."
Novelty Hill 2014 Stillwater Creek Vineyard Merlot (Columbia Valley (WA)),Novelty Hill,Merlot,Stillwater Creek Vineyard,Washington,Columbia Valley (WA),US,90,$28.0,Sean P. Sullivan,"This wine's milk chocolate, herb, cherry, barrel spice and plum aromas lead to a plush, soft palate loaded with chocolate and plum flavors. It strikes a lovely balance."
Bergevin Lane 2008 Stone Tree Vineyard Intuition Reserve Red (Columbia Valley (WA)),Bergevin Lane,Bordeaux-style Red Blend,Stone Tree Vineyard Intuition Reserve,Washington,Columbia Valley (WA),US,90,$58.0,Paul Gregutt,"A riot of licorice, cassis, toast and berry, this 83% Cabernet Sauvignon/17% Petit Verdot Bordeaux-style blend is currently showing a lot of barrel flavors, with subdued but not insignificant fruit. Medium-grained tannins give the finish some gravitas."
Sean Minor 2009 Red (Napa Valley),Sean Minor,Red Blend,,California,Napa Valley,US,86,$22.0,,"There's something distinguished about this blend of several varieties, but also something one-dimensional. It's pretty good for the price—dry, smoothly tannic and proper in blackberry, dark chocolate and cassis flavors."
J. McClelland 2012 Charbono (Napa Valley),J. McClelland,Charbono,,California,Napa Valley,US,90,$40.0,Virginie Boone,"In association with winemaker Mitch Cosentino, John McClelland—former president and general manager of Almaden, Geyser Peak and Alderbrook—has crafted a velvety and robust 100% Charbono. Rare in Napa, it offers flavors of plum and cinnamon within a soft, smooth palate, finishing with notes of oak and black licorice."
Alleromb 2012 Cuvée R Red (Columbia Valley (WA)),Alleromb,Rhône-style Red Blend,Cuvée R,Washington,Columbia Valley (WA),US,91,$40.0,Sean P. Sullivan,"This wine is 60% Syrah and 40% Grenache. Jammy aromas of red and blue fruit are followed by a plush, flavorful palate that shows a pleasing sense of balance and length with a raspberry-filled finish."
The Calling 2014 Sullivan Vineyard Dutton Ranch Chardonnay (Russian River Valley),The Calling,Chardonnay,Sullivan Vineyard Dutton Ranch,California,Russian River Valley,US,93,$51.0,Virginie Boone,"Light gold in color, this wine is focused and bright. A jasmine aroma and succulent green-apple flavor pairs with steely minerality, offering power and grace in one satisfying package."
Abiqua Wind 2015 Pinot Gris (Willamette Valley),Abiqua Wind,Pinot Gris,,Oregon,Willamette Valley,US,91,$12.0,Paul Gregutt,"This is a bright, spicy, crisply defined wine, and an overall supervalue. Clean and fresh flavors of apple and pear come lightly spiced, and are set against refreshing natural acidity. The fruit is sourced from a vineyard block planted in 1978."
Black Cordon 2012 The Black Cordon Vineyard Cabernet Sauvignon (Napa Valley),Black Cordon,Cabernet Sauvignon,The Black Cordon Vineyard,California,Napa Valley,US,92,$175.0,Virginie Boone,"Made in limited quantities by consulting winemaker Paul Hobbs, this is 100% varietal from a single vineyard, aged entirely in new French oak. Soft and malleable tannins manage its tangy, succulent blue fruit, supporting all that full-bodied ripeness and girth."
William Knuttel 2007 Clone 777 Pinot Noir (Russian River Valley),William Knuttel,Pinot Noir,Clone 777,California,Russian River Valley,US,88,$30.0,,"A textbook Pinot Noir for drinking now. Showing the variety's lighter side, it's savory in raspberry, cola and spice flavors, brightened with brisk acidity. Yet there's enough complexity to make it interesting."
Des Amis 2016 Rosé (Napa Valley),Des Amis,Rosé,,California,Napa Valley,US,88,$20.0,Virginie Boone,"Fermented and aged in neutral oak, this combines Cabernet Sauvignon, Merlot, Cabernet Franc, Syrah, Petit Verdot and Malbec. Nutty in aroma, it reveals flavors of cherry, raspberry and vanilla within a moderate body and gravelly texture. It's best enjoyed cold."
Sojourn 2013 Pinot Noir (Russian River Valley),Sojourn,Pinot Noir,,California,Russian River Valley,US,94,$42.0,Virginie Boone,"In this silky and seductive wine, integrated oak and tannin wrap around lilting waves of earth and rose petal, providing plenty of sensory intrigue. From several vineyards, including Wohler, it shines a light on the subtleties that can be coaxed from the appellation, along with a spectacular exuberance."
Damiani 2012 Bollicini Sparkling (Finger Lakes),Damiani,Sparkling Blend,Bollicini,New York,Finger Lakes,US,87,$16.0,Anna Lee C. Iijima,"Hints of orange blossom accent sugar cookie and brioche in this sparkling blend of Chardonany, Pinot Noir, Cayuga and Pinot Gris. It's zesty in lemon-lime acidity, finishing rich and dense."
Stags' Leap Winery 2016 Viognier (Napa Valley),Stags' Leap Winery,Viognier,,California,Napa Valley,US,91,$32.0,Virginie Boone,"A 100% varietal wine, this is dry and in balance, made in a bigger fuller style that presents as lush and plush on the palate. Apricot and peach offer a ripe succulence of fruit as a touch of oak integrates well into the background."
Raptor Ridge 2012 Gran Moraine Vineyard Pinot Noir,Raptor Ridge,Pinot Noir,Gran Moraine Vineyard,Oregon,Willamette Valley,US,92,$45.0,Paul Gregutt,"This young, high-density vineyard delivers the goods, with purple, plummy, spicy fruit and excellent concentration and texture. There is a pleasing graininess to the mouthfeel, and layers of complexity that are just beginning to open."
Domaine Serene 2008 Yamhill Cuvée Pinot Noir (Willamette Valley),Domaine Serene,Pinot Noir,Yamhill Cuvée,Oregon,Willamette Valley,US,90,$42.0,Paul Gregutt,"Drinkable now, but certainly cellar-worthy, the most widely available cuvée from Domaine Serene shows the strength of the 2008 vintage. Fully ripe, assertive and full-bodied, it brings scents of berry and herb into play, leading into a thick and tannic wine with coiled power. Decant it, or give it a few years in the cellar."
Waterbrook 2010 Mélange Red Varietal Blend Red (Columbia Valley (WA)),Waterbrook,Red Blend,Mélange Red Varietal Blend,Washington,Columbia Valley (WA),US,87,$15.0,Sean P. Sullivan,"This appropriately named wine contains a mix of eight Bordeaux and Rhône grape varieties with no single grape making up so much as a quarter of the blend. Notes of cherry and tobacco meld with dry chocolate, ash and light herbal tones leading to a spice-filled finish."
Benessere 2008 Phenomenon Red (Napa Valley),Benessere,Red Blend,Phenomenon,California,Napa Valley,US,92,$50.0,,"There is a ton of black pepper flavor in this stylish blend of Cabernet Sauvignon, Sangiovese, Merlot and Syrah. It also bears notes of licorice, sweet red currants, grilled prosciutto and sandalwood. This tastes so rich that it almost seems sweet, but it's actually dry and balanced."
Heart & Hands 2011 Brut Rosé Pinot Noir (Finger Lakes),Heart & Hands,Pinot Noir,Brut Rosé,New York,Finger Lakes,US,85,$26.0,Anna Lee C. Iijima,"Yeasty bread notes mingle with preserved cherry and raspberry tones on this dry, but fruity, Pinot Noir sparkling. It's quite bold on the palate with big, mouthfilling foam, and finishes with a touch of mushroom."
Donum 2005 Pinot Noir (Russian River Valley),Donum,Pinot Noir,,California,Russian River Valley,US,83,$65.0,,"Harsh and disjointed, this Pinot has a hot, prickly feeling. It tastes unevenly ripened, with minty flavors side by side with Lifesaver candy, raspberries and red currants."
Anthill 2005 Tina Marie Vineyard Pinot Noir (Russian River Valley),Anthill,Pinot Noir,Tina Marie Vineyard,California,Russian River Valley,US,93,$43.0,,"The vineyard is in Green Valley, the coolest part of the appellation. You'll find very high acidity and an austere, elegant wine in this extremely low-yield Pinot Noir. The flavors are right on the edge, balancing less ripe peppermint and tannic Chinese-tea notes with richer cherries and raspberries. This is really a thrilling young wine, and while it may hold for years, it's best now for its tense youth."
Cellars 33 2013 Bacigalupi Vineyard Zinfandel (Russian River Valley),Cellars 33,Zinfandel,Bacigalupi Vineyard,California,Russian River Valley,US,90,$36.0,Virginie Boone,"Piquant in allspice, this soft, single-vineyard designate from a property known for Pinot Noir conveys a sense of elegance and subdued tannins, offering plum and red cherry atop shy waves of cedar and sage. A smoky component on the robust finish makes it memorable."
Heritance 2012 Cabernet Sauvignon (Napa Valley),Heritance,Cabernet Sauvignon,,California,Napa Valley,US,88,$37.0,Virginie Boone,"Made by longtime Napa winemakers Bernard Portet and Bob Pepi, this Cab is a complex study of bittersweet chocolate, cedar and herb. Juicy, it features a well-managed use of oak and medium body and weight, finishing with a sense of elegance."
Acorn 2000 Heritage Vines Alegria Vineyards Zinfandel (Russian River Valley),Acorn,Zinfandel,Heritage Vines Alegria Vineyards,California,Russian River Valley,US,91,$28.0,,"Actually a blend of Zin plus 10 other minor varietals in an old field blend, this complex wine fascinates with its intricately interlocked flavors. There's a sensation a second. Bottom line: This wine is delicious, ripely sweet although technically dry, and ageworthy."
C. Beck 2005 Cabernet Sauvignon (Napa Valley),C. Beck,Cabernet Sauvignon,,California,Napa Valley,US,88,$48.0,,"Inky dark and tannic now, this 100% Cabernet, aged in 50% new French oak barrels, seems aimed for the cellar. It's tough as nails now, but has an enormous heart of cassis. Give this low-production wine a good 4–6 years of aging."
Red Newt Cellars 2011 Dry Riesling (Finger Lakes),Red Newt Cellars,Riesling,Dry,New York,Finger Lakes,US,89,$16.0,Anna Lee C. Iijima,"While dainty in style, this refreshing Riesling is chock full of white-grapefruit flavor accented by a flurry of white florals, lime and lanolin. Concentrated but fresh, the palate bristles with striking acidity and minerality."
Raymond 2007 Generations Cabernet Sauvignon (Napa Valley),Raymond,Cabernet Sauvignon,Generations,California,Napa Valley,US,92,$85.0,,"This is the darkest, biggest, richest of Raymond's 2007 Cabernets. It's ripe and full in blackberries and currants, with a thick coating of sweet, toasty oak, but it's not really drinkable now because the tannins are so strong. Designed for the cellar, it should develop bottle complexity over the next 10–12 years."
Joseph Jewell 2013 Hallberg Vineyard Pinot Noir (Russian River Valley),Joseph Jewell,Pinot Noir,Hallberg Vineyard,California,Russian River Valley,US,92,$50.0,Virginie Boone,"This comes from a dry-farmed site, all the better to coax out its stony minerality and delicate aromas of rose garden an d geranium. Fully expressive, it's voluptuous and lushly balanced, offering wild strawberry and tons of forest floor."
Joseph Phelps 2009 Cabernet Sauvignon (Napa Valley),Joseph Phelps,Cabernet Sauvignon,,California,Napa Valley,US,92,$58.0,,"Expensive, yes, but it shows the drama and interest that a Joseph Phelps Cabernet predictably delivers. It's rich and ripe in blackberry, cherry, currant and oak flavors, with wonderful tannins and a dry finish. Best now."
Tobacco Road 2010 Pinot Noir (Russian River Valley),Tobacco Road,Pinot Noir,,California,Russian River Valley,US,91,$65.0,Virginie Boone,"Rich and velvety on the palate, this Pinot is cohesive in soft, pretty layers of light spice and red raspberry and cherry. Nuanced, it develops complexity as it goes, finishing as it started, rich and velvety."
Arista 2013 Ritchie Vineyard Chardonnay (Russian River Valley),Arista,Chardonnay,Ritchie Vineyard,California,Russian River Valley,US,93,$60.0,Virginie Boone,"An opulent nose surges from the bottle in this lush, exuberant wine from the legendary vineyard site. Pronounced flavors of baked apple, caramel, honey and peach combine in memorable, full-bodied ways. Textured and layered, this brooder is drinking great now but should do well with more time in the cellar, through 2023."
Jarvis 2009 Estate Grown Merlot (Napa Valley),Jarvis,Merlot,Estate Grown,California,Napa Valley,US,91,$95.0,,"Made using grapes grown in Jarvis's mountain vineyard, this is a strongly flavored Merlot. It's brilliant and intense, with flavors of red cherry pie, red licorice, grilled Canadian bacon and sandalwood. The tannic structure is a joy—soft, furry and complex. There's lots of oak, too, which lends a smoky edge. Probably at its best now, so drink up."
Heron Hill 2011 Semi-Dry Riesling (Finger Lakes),Heron Hill,Riesling,Semi-Dry,New York,Finger Lakes,US,87,$14.0,Anna Lee C. Iijima,"Hints of nut oil and smoke lend a savory tone to bright stone-fruit and floral notes on this delicate semidry Riesling. Brisk with lemon-lime acidity, it finishes long with a murmur of lanolin and honey comb."
Chateau Lafayette Reneau 2010 Merlot (Finger Lakes),Chateau Lafayette Reneau,Merlot,,New York,Finger Lakes,US,86,$19.0,Anna Lee C. Iijima,"A faint whiff of herbs linger from nose to palate, adding earthy complexity to tart sour-cherry and cranberry flavors. It's crisp and invigorating, but a little restrained in character. Finishes on a pleasantly tannic, brambly note."
Keuka Lake Vineyards 2014 Estate Grown and Bottled Semi-Dry Riesling (Finger Lakes),Keuka Lake Vineyards,Riesling,Estate Grown and Bottled Semi-Dry,New York,Finger Lakes,US,88,$17.0,Anna Lee C. Iijima,"Hints of spice, smoke and cedar lend a savory tone to flavors of pressed apple and pear in this brisk semidry Riesling. It's an uncomplicated but tasty wine, brightened by streaks of tart, lemony acidity and a delicate swirl of honey on the finish. Drink now."
Trisaetum 2012 Coast Range Estate Riesling,Trisaetum,Riesling,Coast Range Estate,Oregon,Willamette Valley,US,92,$24.0,Paul Gregutt,"This is the medium-dry Riesling from this estate vineyard, a notch lower in alcohol than the Dry bottling, and overall a bit rounder. It carries the same excellent texture, length and mix of ripe fruits, with pears and nectarines taking center stage."
Willamette Valley Vineyards 2012 Whole Cluster Pinot Noir (Willamette Valley),Willamette Valley Vineyards,Pinot Noir,Whole Cluster,Oregon,Willamette Valley,US,86,$22.0,Paul Gregutt,Carbonic maceration is the fermentation technique employed in this wine. It brings out vibrant Bing-cherry flavors and with a hint of bread dough. There are interesting highlights of cured meats also. This is a good choice for drinking with roasted birds.
Chateau Lafite Rothschild 2019 Schnitzel,Chateau Lafite Rothschild,Schnitzel,,Washingtonne,,US,142,$164.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Matrix 2013 Reserve Matrix Estate Zinfandel (Russian River Valley),Matrix,Zinfandel,Reserve Matrix Estate,California,Russian River Valley,US,88,$46.0,Virginie Boone,"Juicy strawberry jam and dried herb combine for a forceful attack of bold, concentrated flavor and robust body, the wine textured in dusty tannin."
HKG 2011 Chardonnay (Russian River Valley),HKG,Chardonnay,,California,Russian River Valley,US,88,$28.0,,"Grassy dill and citrus flavors give this Chardonnay a Sauvignon Blanc-style leanness, but it's balanced with notes of buttered toast and vanilla from new French oak. Brisk with acidity, it's the perfect wine to drink with scallops."
Lucas Vineyards 2013 Dry Gewürztraminer (Finger Lakes),Lucas Vineyards,Gewürztraminer,Dry,New York,Finger Lakes,US,84,$14.0,Anna Lee C. Iijima,"Intense aromas of sun-ripened peaches, berries and blossom abound on this exuberant, yet nimble-footed Gewürztraminer. Dry in style, the palate is a touch herbaceous and brambly, but the finish is brisk and lemony fresh."
Silenus 2010 Merlot (Napa Valley),Silenus,Merlot,,California,Napa Valley,US,87,$36.0,,"A simple Merlot, but likeable enough, with ripe, jammy raspberry, prune and cherry flavors."
Adler Fels 2008 Sauvignon Blanc (Russian River Valley),Adler Fels,Sauvignon Blanc,,California,Russian River Valley,US,87,$15.0,,"A lovely Sauvignon Blanc, tart and bone dry, with a bite of citrusy acidity that cleanses the palate. It carries pleasant flavors of Meyer lemons, limes, pink grapefruit and vanilla."
